input,explanations,gold_relations
"He had been taking trimethoprim-sulfamethoxazole for approximately eight days when he revisited his family physician, complaining of headaches, dizziness, difficulty with speech, weakness, and itching on the trunk of his body and legs, where a maculopapular rash was noted.","Explanation: Explanation: Explanation: The patient had been taking trimethoprim-sulfamethoxazole for eight days, and this resulted in various side effects including difficulty with speech, dizziness, headaches, itching on the trunk, a maculopapular rash, and weakness.</s></s></s>","[['sulfamethoxazole', 'difficulty with speech'], ['trimethoprim', 'difficulty with speech'], ['sulfamethoxazole', 'dizziness'], ['trimethoprim', 'dizziness'], ['sulfamethoxazole', 'headaches'], ['trimethoprim', 'headaches'], ['sulfamethoxazole', 'itching on the trunk'], ['trimethoprim', 'itching on the trunk'], ['sulfamethoxazole', 'maculopapular rash'], ['trimethoprim', 'maculopapular rash'], ['sulfamethoxazole', 'weakness'], ['trimethoprim', 'weakness']]"
"PURPOSE: The case of a patient who developed aseptic meningitis, hemolytic anemia, hepatitis, and orthostatic hypotension simultaneously during treatment with trimethoprim-sulfamethoxazole is described.","Explanation: Explanation: Explanation: Simultaneous development of aseptic meningitis, hemolytic anemia, hepatitis, and orthostatic hypotension was caused by trimethoprim-sulfamethoxazole treatment.</s></s></s>","[['sulfamethoxazole', 'aseptic meningitis'], ['trimethoprim', 'aseptic meningitis'], ['sulfamethoxazole', 'hemolytic anemia'], ['trimethoprim', 'hemolytic anemia'], ['sulfamethoxazole', 'hepatitis'], ['trimethoprim', 'hepatitis'], ['sulfamethoxazole', 'orthostatic hypotension'], ['trimethoprim', 'orthostatic hypotension']]"
"A patient, while on intravenous ritodrine therapy for preterm labor, experienced an episode of acute chest pain.",Explanation: Explanation: Explanation: The patient experienced acute chest pain while receiving ritodrine therapy for preterm labor.</s></s></s>,"[['ritodrine', 'acute chest pain']]"
"The electrocardiogram (ECG), which was read as normal prior to ritodrine infusion, demonstrated a type I second-degree AV block which disappeared upon discontinuation of ritodrine therapy.",Explanation: Explanation: Explanation: Ritodrine therapy caused type I second-degree AV block on the electrocardiogram which disappeared upon discontinuation of ritodrine therapy.</s></s></s>,"[['ritodrine', 'type I second-degree AV block'], ['ritodrine', 'type I second-degree AV block']]"
"Type I second-degree AV block (Mobitz type I, Wenckebach AV block) during ritodrine therapy for preterm labor.","Explanation: Explanation: Explanation: Ritodrine therapy caused Type I second-degree AV block (Mobitz type I, Wenckebach AV block).</s></s></s>","[['ritodrine', 'Mobitz type I'], ['ritodrine', 'Type I second-degree AV block'], ['ritodrine', 'Wenckebach AV block']]"
Exacerbation of anthracycline-induced early chronic cardiomyopathy with ATRA: role of B-type natriuretic peptide as an indicator of cardiac dysfunction.,Explanation: Explanation: Explanation: Anthracycline induced early chronic cardiomyopathy was exacerbated with ATRA.</s></s></s>,"[['anthracycline', 'early chronic cardiomyopathy']]"
We report the case of a 14-year-old female with acute promyelocytic leukemia who developed symptomatic cardiomyopathy only 4 months into treatment with a combination of daunomycin and all-trans retinoic acid (ATRA).,Explanation: Explanation: Explanation: A combination of daunomycin and all-trans retinoic acid (ATRA) caused symptomatic cardiomyopathy in a patient with acute promyelocytic leukemia.</s></s></s>,"[['all-trans retinoic acid', 'symptomatic cardiomyopathy'], ['ATRA', 'symptomatic cardiomyopathy'], ['daunomycin', 'symptomatic cardiomyopathy']]"
CONCLUSIONS: We present a case of a patient with CML who developed KS 12 months after starting treatment with imatinib 400 mg/d.,Explanation: Explanation: Explanation: Imatinib treatment caused KS in a patient with CML 12 months after starting the treatment.</s></s></s>,"[['imatinib', 'KS']]"
"Flare of Kaposi's sarcoma (KS) is well described in immunosuppressed patients treated with corticosteroids and rituximab, but has not yet been reported during treatment with imatinib.",Explanation: Explanation: Explanation: Rituximab is known to cause flare of Kaposi's sarcoma (KS).</s></s></s>,"[['rituximab', ""Kaposi's sarcoma""], ['rituximab', 'KS']]"
Kaposi's sarcoma in a patient treated with imatinib mesylate for chronic myeloid leukemia.,Explanation: Explanation: Explanation: Kaposi's sarcoma occurred in a patient treated with imatinib mesylate for chronic myeloid leukemia.</s></s></s>,"[['imatinib mesylate', ""Kaposi's sarcoma""]]"
OBJECTIVE: We report a case of cutaneous KS lesions in a patient affected by CML treated with imatinib.,Explanation: Explanation: Explanation: A case of cutaneous KS lesions was reported in a patient affected by CML treated with imatinib.</s></s></s>,"[['imatinib', 'cutaneous KS lesions']]"
Bulbar and pseudobulbar palsy complicating therapy with high-dose cytosine arabinoside in children with leukemia.,Explanation: Explanation: Explanation: High-dose cytosine arabinoside caused Bulbar and pseudobulbar palsy in children with leukemia.</s></s></s>,"[['cytosine arabinoside', 'Bulbar'], ['cytosine arabinoside', 'pseudobulbar palsy']]"
"Interferon-based treatments have the potential to decrease the burden of disease, but are complicated by side effects, including neuropsychiatric symptoms.",Explanation: Explanation: Explanation: Interferon-based treatments can cause neuropsychiatric symptoms as a side effect.</s></s></s>,"[['Interferon', 'neuropsychiatric symptoms']]"
"Interferon-induced psychosis as a ""psychiatric contraindication"" to hepatitis C treatment: a review and case-based discussion.",Explanation: Explanation: Explanation: Interferon induced psychosis is a psychiatric contraindication to hepatitis C treatment.</s></s></s>,"[['Interferon', 'psychosis']]"
METHOD: The authors followed a patient with chronic HCV who received interferon and ribavirin and who developed hallucinations ultimately requiring psychiatric hospitalization.,"Explanation: Explanation: Explanation: Interferon and ribavirin caused hallucinations in a patient with chronic HCV, ultimately requiring psychiatric hospitalization.</s></s></s>","[['interferon', 'hallucinations'], ['ribavirin', 'hallucinations']]"
OBJECTIVE: The authors described a case of interferon-induced psychosis as a framework to review the literature and discuss the decision to pursue antiviral treatment in psychiatrically ill patients with hepatitis C.,Explanation: Explanation: Explanation: A case of interferon-induced psychosis was described as a framework to review the literature.</s></s></s>,"[['interferon', 'psychosis']]"
CONCLUSION: Zidovudine is well a known cause of anaemia and thus should be used with caution in the initiation of antiretroviral therapy.,"Explanation: Explanation: Explanation: Zidovudine is known to cause anaemia, thus should be used with caution in antiretroviral therapy.</s></s></s>","[['Zidovudine', 'anaemia']]"
We report a case of Zidovudine induced anaemia and bone marrow aplasia in a patient infected with HIV.,Explanation: Explanation: Explanation: Zidovudine induced anaemia and bone marrow aplasia in a patient infected with HIV.</s></s></s>,"[['Zidovudine', 'anaemia'], ['Zidovudine', 'bone marrow aplasia']]"
Zidovudine induced pure red cell aplasia: a case report.,Explanation: Explanation: Explanation: Zidovudine induced pure red cell aplasia in a case report.</s></s></s>,"[['Zidovudine', 'pure red cell aplasia']]"
CONCLUSIONS: SD-OCT and AO detected abnormalities that correlate topographically with visual field loss from hydroxychloroquine toxicity as demonstrated by HVF 10-2 and may be useful in the detection of subclinical abnormalities that precede symptoms or objective visual field loss.,Explanation: Explanation: Explanation: Hydroxychloroquine toxicity caused objective visual field loss and visual field loss.</s></s></s>,"[['hydroxychloroquine', 'objective visual field loss'], ['hydroxychloroquine', 'visual field loss']]"
PURPOSE: To describe spectral-domain optical coherence tomography (SD-OCT) and adaptive optics (AO) imaging in hydroxychloroquine retinal toxicity.,Explanation: Explanation: Explanation: Hydroxychloroquine caused retinal toxicity which was observed by SD-OCT and AO imaging.</s></s></s>,"[['hydroxychloroquine', 'retinal toxicity']]"
Spectral-domain optical coherence tomography and adaptive optics may detect hydroxychloroquine retinal toxicity before symptomatic vision loss.,Explanation: Explanation: Explanation: Hydroxychloroquine caused retinal toxicity which can be detected by spectral-domain optical coherence tomography and adaptive optics.</s></s></s>,"[['hydroxychloroquine', 'retinal toxicity']]"
Transient trazodone-induced hypomanic symptoms occurred in three depressed patients.,Explanation: Explanation: Explanation: Three depressed patients experienced hypomanic symptoms due to trazodone.</s></s></s>,"[['trazodone', 'hypomanic symptoms']]"
Trazodone-induced transient hypomanic symptoms and their management.,Explanation: Explanation: Explanation: Trazodone induced transient hypomanic symptoms.</s></s></s>,"[['Trazodone', 'transient hypomanic symptoms']]"
Introduction of etanercept was also clinically effective but followed by development of severe heart failure.,Explanation: Explanation: Explanation: Severe heart failure was reported after introduction of etanercept.</s></s></s>,"[['etanercept', 'severe heart failure']]"
Reversible heart failure in a patient receiving etanercept for ankylosing spondylitis.,Explanation: Explanation: Explanation: Reversible heart failure was observed in a patient receiving etanercept for ankylosing spondylitis.</s></s></s>,"[['etanercept', 'Reversible heart failure']]"
Combining methylephedrine and Chinese herbal drugs might carry a risk of stroke.,Explanation: Explanation: Explanation: Combining methylephedrine and Chinese herbal drugs might carry a risk of stroke.</s></s></s>,"[['methylephedrine', 'stroke']]"
"We describe a patient who experienced chronic nausea and an episode of confusion while treated with a small, stable dose of oral morphine in the setting of mild renal insufficiency.","Explanation: Explanation: Explanation: Patient experienced chronic nausea and confusion while treated with a small, stable dose of oral morphine.</s></s></s>","[['morphine', 'chronic nausea'], ['morphine', 'confusion']]"
"Common adverse events (frequency 10%) of lacosamide doses up to 600 mg/day include nonspecific central nervous system effects (e.g., dizziness, ataxia, diplopia, and somnolence).","Explanation: Explanation: Explanation: Lacosamide doses up to 600 mg/day can cause ataxia, diplopia, dizziness and somnolence.</s></s></s>","[['lacosamide', 'ataxia'], ['lacosamide', 'diplopia'], ['lacosamide', 'dizziness'], ['lacosamide', 'somnolence']]"
A case of aseptic pleuropericarditis in a patient with chronic plaque psoriasis under methotrexate therapy.,Explanation: Explanation: Explanation: Methotrexate therapy caused aseptic pleuropericarditis in a patient with chronic plaque psoriasis.</s></s></s>,"[['methotrexate', 'aseptic pleuropericarditis']]"
"Methotrexate may rarely provoke serositis, even with low doses and after just a few weeks of therapy.","Explanation: Explanation: Explanation: Methotrexate may rarely cause serositis, even with low doses and after just a few weeks of therapy.</s></s></s>","[['Methotrexate', 'serositis']]"
We report here a rare case of pleuropericarditis due to methotrexate.,Explanation: Explanation: Explanation: Methotrexate caused pleuropericarditis in a rare case.</s></s></s>,"[['methotrexate', 'pleuropericarditis']]"
"The authors report five cases of tremor related to itraconazole therapy, which occurred within 1-12 months of initiating treatment and resolved gradually following itraconazole withdrawal.","Explanation: Explanation: Explanation: Itraconazole caused tremor in five cases, which resolved gradually following itraconazole withdrawal.</s></s></s>","[['itraconazole', 'tremor'], ['itraconazole', 'tremor']]"
